node,node_type,pagerank,betweenness,in_degree
personal information,Category,0.02056346101669016,0.034127198564785056,386
CCPA,Regulation,0.009150271687212396,0.0,66
HIPAA,Regulation,0.005465309516522087,0.0,36
we,Entity,0.004787562914562214,0.029926823955508976,177
GDPR,Regulation,0.004397574280536093,0.0,32
cookie / pixel tag,DataPoint,0.002612236554591204,0.003697845606700821,81
password,DataPoint,0.002360846941284802,0.0,14
internet,DataPoint,0.0019280666509565818,0.0,12
contact information,Category,0.0017637736078093978,0.0032149111381222168,46
person name,DataPoint,0.0017621938084804757,6.485186015004908e-05,35
username,DataPoint,0.0017164042755570383,0.0,13
browser type,DataPoint,0.0016501438947605167,0.0,18
information provide,DataPoint,0.001572203865432949,0.0,5
information about you,Category,0.0015157898615331426,0.0012862663181392397,33
email address,DataPoint,0.001465701035956201,0.00013993360314760086,34
geolocation,DataPoint,0.0014559577803062657,0.0009427876317761469,42
aggregate / deidentified / pseudonymized information,Category,0.0014260323817484528,0.0007880733701042474,20
phone number,DataPoint,0.0013918657022771168,6.468986091655297e-06,27
information about,Category,0.0013494442465650947,0.0,14
preference for future interaction from stryker,Category,0.0013310678524019982,0.0,4
camera,Category,0.001324706805203217,0.0,5
different type,DataPoint,0.0013223224832141487,0.0,7
audio,DataPoint,0.0012920678371498497,3.615148233815087e-05,6
privacy control within microsoft office client app,Category,0.0012704693224680893,0.0,4
ip address,Category,0.0012424601617092093,0.00021719269388563388,49
protected classification,DataPoint,0.001218079061774992,0.0,4
consumer application information collect from consumer to federally facilitated marketplaces for eligibility determination,Category,0.001196862858340983,0.0,4
policy number,DataPoint,0.001127112543254756,0.0,5
account user credential,Category,0.001125250607313976,0.0,3
information within t. rowe price family of company,Category,0.0011206415563445142,0.0,5
information with,Category,0.0011195089427979098,0.0,4
personal information government require we,Category,0.0011188972849820716,0.0,5
order,Category,0.0011166536225097217,0.0,4
user name,DataPoint,0.0011146086491718439,0.0,6
personal,Category,0.0011070887992572643,0.0,7
promotional message relate to product,Category,0.0011043729149958787,0.0,3
cloud datum storage,Category,0.0010973782027488951,0.0,3
company name,DataPoint,0.0010726586607509552,0.0,5
internet activity,Category,0.0010685659772746142,0.004341543433860266,33
postal address,DataPoint,0.0010511256472127758,0.0001718626722781201,22
detail on,Category,0.0010393944293206224,0.0,3
device,Category,0.0009884706769962479,0.0,11
title,DataPoint,0.0009875517922326507,0.0,7
personal information with,Category,0.0009732787805659948,0.0,5
phi,Category,0.0009629886088060686,8.632403345340368e-05,20
specific piece,Category,0.0009497774522464196,0.0,3
citizenship,Category,0.0009284552844949414,0.0,6
interest,DataPoint,0.000923253650995248,0.0,6
microphone,DataPoint,0.0009117457844279151,0.0,4
chd,Category,0.0009060203177910774,0.0,7
payment detail,DataPoint,0.0009047149359511878,0.0,4
metadata,DataPoint,0.0008958520528459255,0.0,5
diagnostic datum,DataPoint,0.0008900031966314839,0.0,9
information about device,Category,0.0008883166206860895,0.0,4
personal data of minor be,Category,0.0008660778327485014,0.0,4
phi about you,Category,0.0008626292679779787,0.0,5
UNSPECIFIED_ACTOR,Entity,0.0008575021293350376,0.0032841912443608155,146
global privacy control,DataPoint,0.0008559952906729159,0.0,5
session,Category,0.0008529288549673383,0.0,3
tracking,DataPoint,0.0008376383490193694,0.0,5
insurance transaction,Category,0.0008300405855498806,0.0,3
type of information,Category,0.0008285226976959328,0.0,9
option,Category,0.0008142941512441161,0.0,6
information with third party,Category,0.0008100166827937535,0.0,4
information to,Category,0.0008036318428270089,0.0,3
artificial intelligence,Category,0.0008021711342166626,0.0,5
choice,Category,0.0008017400591912303,0.0,3
personal information run everyday business,Category,0.0008009425583594735,0.0,2
communication preference,DataPoint,0.0007977486060476353,0.0,4
information for recordkeeping purpose,Category,0.0007886561557775481,0.0,3
credit card,Category,0.0007850832029117688,0.0,7
special category,Category,0.000784351401610108,0.0,3
datum on,Category,0.0007832277762326801,0.0,4
name subject record collect for research.|,Category,0.0007828604633262858,0.0,3
name subject record collect for research,Category,0.0007828604633262858,0.0,3
available personal datum,Category,0.000781278315952374,0.0,5
device data,Category,0.0007808029150320797,0.0,4
information about individual,Category,0.0007799951730175617,0.0,6
personal information concern criminal conviction,Category,0.0007796312304608212,0.0,4
transaction datum,Category,0.0007789667364674664,0.0,5
information disclose through survey provide to,Category,0.0007787547920097305,0.0,4
identifier,Category,0.0007783491950725858,0.0036285677794864308,23
documentation,Category,0.0007756430287972313,0.0,3
url of website,Category,0.0007752366432148759,0.0,3
datum identify,Category,0.0007732660657945841,0.0,3
information about use of site with social medium,Category,0.0007732068675728387,0.0,3
personal data artificial share information about use of site with social medium,Category,0.0007732068675728387,0.0,3
datum with company,Category,0.0007729462139130183,0.0,4
list,Category,0.0007723522251972441,0.0,3
personal information with governmental public authority,Category,0.0007720736556286023,0.0,2
feedback form,Category,0.0007706818094740626,0.0,2
fastlane profile information,Category,0.0007700438167329914,0.0,5
subdomain,Category,0.0007694639440888402,0.0,2
inferences,DataPoint,0.000769445844406605,0.0,3
informatio,Category,0.0007677941325274062,0.0,3
information about product usage,Category,0.0007677941325274062,0.0,3
security token,Category,0.0007674341684468029,0.0,2
personal information concern,Category,0.0007674341684468029,0.0,2
payment,Category,0.0007671038644350151,0.0,3
personal information for cross - contextual behavioral advertising with your,Category,0.0007668323848815796,0.0,3
information about privacy choice,Category,0.0007665795260712084,0.0,2
personal information with corporate subsidiary,Category,0.0007665795260712084,0.0,2
screen resolution,DataPoint,0.0007664121406504125,0.0,6
metric,Category,0.0007658103479331733,0.0,2
copy of your,Category,0.0007651144248559033,0.0,2
