company,sector,total_nodes,total_edges,data_nodes,actor_nodes,density,avg_degree,unique_relationships
AbbVie,Healthcare,49,56,36,13,0.02381,2.286,2
Abbott_Laboratories,Healthcare,55,78,43,12,0.02626,2.836,2
Accenture,IT,49,49,39,10,0.02083,2.0,2
Adobe_Inc.,IT,37,37,29,8,0.02778,2.0,2
Advanced_Micro_Devices,IT,65,72,50,15,0.01731,2.215,2
Aflac,Financial,124,212,85,39,0.0139,3.419,2
Aflac_old,Financial,53,78,41,12,0.0283,2.943,2
Agilent_Technologies,Healthcare,34,35,17,17,0.03119,2.059,2
Akamai_Technologies,IT,16,15,9,7,0.0625,1.875,2
Align_Technology,Healthcare,30,28,20,10,0.03218,1.867,2
Allstate,Financial,107,112,95,12,0.00987,2.093,2
American_Express,Financial,40,77,31,9,0.04936,3.85,2
American_International_Group,Financial,42,54,24,18,0.03136,2.571,2
Amgen,Healthcare,35,36,28,7,0.03025,2.057,2
Amphenol,IT,28,30,21,7,0.03968,2.143,2
Analog_Devices,IT,21,20,15,6,0.04762,1.905,2
Ansys,IT,27,28,19,8,0.03989,2.074,2
Aon_plc,Financial,23,22,17,6,0.04348,1.913,2
Apollo_Global_Management,Financial,69,99,59,10,0.0211,2.87,2
Apple_Inc.,IT,9,7,5,4,0.09722,1.556,2
Applied_Materials,IT,18,19,11,7,0.06209,2.111,2
Arista_Networks,IT,74,81,63,11,0.01499,2.189,2
Arthur_J._Gallagher_&_Co.,Financial,104,125,77,27,0.01167,2.404,2
Assurant,Financial,34,30,24,10,0.02674,1.765,2
Autodesk,IT,24,24,16,8,0.04348,2.0,2
BNY_Mellon,Financial,14,13,12,2,0.07143,1.857,2
Bank_of_America,Financial,12,10,6,6,0.07576,1.667,1
Baxter_International,Healthcare,2,1,1,1,0.5,1.0,1
Becton_Dickinson,Healthcare,21,19,17,4,0.04524,1.81,2
Berkshire_Hathaway,Financial,4,3,2,2,0.25,1.5,1
Bio-Techne,Healthcare,32,33,26,6,0.03327,2.062,2
Biogen,Healthcare,43,42,34,9,0.02326,1.953,2
BlackRock,Financial,22,19,17,5,0.04113,1.727,2
