company,total_nodes,total_edges,data_nodes,actor_nodes,density,avg_degree,unique_relationships,relationship_types
Progressive_Corporation.graphml,24,24,15,9,0.043478260869565216,2.0,2,"['COLLECT', 'SUBSUM']"
"F5,_Inc..graphml",49,60,39,10,0.025510204081632654,2.4489795918367347,2,"['COLLECT', 'SUBSUM']"
Juniper_Networks.graphml,24,37,20,4,0.06702898550724638,3.0833333333333335,2,"['COLLECT', 'SUBSUM']"
Solventum.graphml,15,14,6,9,0.06666666666666667,1.8666666666666667,2,"['COLLECT', 'SUBSUM']"
Labcorp.graphml,21,21,13,8,0.05,2.0,2,"['COLLECT', 'SUBSUM']"
Advanced_Micro_Devices.graphml,65,72,50,15,0.01730769230769231,2.2153846153846155,2,"['COLLECT', 'SUBSUM']"
Stryker_Corporation.graphml,15,14,6,9,0.06666666666666667,1.8666666666666667,2,"['COLLECT', 'SUBSUM']"
Jabil.graphml,42,41,35,7,0.023809523809523808,1.9523809523809523,2,"['COLLECT', 'SUBSUM']"
Blackstone_Inc..graphml,86,95,69,17,0.012995896032831737,2.2093023255813953,2,"['COLLECT', 'SUBSUM']"
Regions_Financial_Corporation.graphml,19,19,15,4,0.05555555555555555,2.0,2,"['COLLECT', 'SUBSUM']"
Citizens_Financial_Group.graphml,65,80,60,5,0.019230769230769232,2.4615384615384617,2,"['COLLECT', 'SUBSUM']"
CDW_Corporation.graphml,39,43,17,22,0.029014844804318488,2.2051282051282053,2,"['COLLECT', 'SUBSUM']"
DaVita.graphml,28,26,24,4,0.03439153439153439,1.8571428571428572,2,"['COLLECT', 'SUBSUM']"
Invesco.graphml,26,29,21,5,0.04461538461538461,2.230769230769231,2,"['COLLECT', 'SUBSUM']"
Fortinet.graphml,112,159,86,26,0.01278957528957529,2.8392857142857144,2,"['COLLECT', 'SUBSUM']"
Ansys.graphml,27,28,19,8,0.039886039886039885,2.074074074074074,2,"['COLLECT', 'SUBSUM']"
Fiserv.graphml,81,90,58,23,0.013888888888888888,2.2222222222222223,2,"['COLLECT', 'SUBSUM']"
Salesforce.graphml,86,110,73,13,0.015047879616963064,2.558139534883721,2,"['COLLECT', 'SUBSUM']"
Nvidia.graphml,61,74,54,7,0.020218579234972677,2.4262295081967213,2,"['COLLECT', 'SUBSUM']"
Synchrony_Financial.graphml,63,83,41,22,0.02124935995903738,2.634920634920635,2,"['COLLECT', 'SUBSUM']"
Allstate.graphml,107,112,95,12,0.009874801622288838,2.0934579439252334,2,"['COLLECT', 'SUBSUM']"
Intuitive_Surgical.graphml,23,20,18,5,0.039525691699604744,1.7391304347826086,2,"['COLLECT', 'SUBSUM']"
BlackRock.graphml,22,19,17,5,0.04112554112554113,1.7272727272727273,2,"['COLLECT', 'SUBSUM']"
ResMed.graphml,50,52,38,12,0.02122448979591837,2.08,2,"['COLLECT', 'SUBSUM']"
Seagate_Technology.graphml,27,27,21,6,0.038461538461538464,2.0,2,"['COLLECT', 'SUBSUM']"
TE_Connectivity.graphml,5,4,4,1,0.2,1.6,2,"['COLLECT', 'SUBSUM']"
Apollo_Global_Management.graphml,69,99,59,10,0.021099744245524295,2.869565217391304,2,"['COLLECT', 'SUBSUM']"
AbbVie.graphml,49,56,36,13,0.023809523809523808,2.2857142857142856,2,"['COLLECT', 'SUBSUM']"
Pfizer.graphml,53,65,45,8,0.02358490566037736,2.452830188679245,2,"['COLLECT', 'SUBSUM']"
Bristol_Myers_Squibb.graphml,58,56,45,13,0.01693889897156685,1.9310344827586208,2,"['COLLECT', 'SUBSUM']"
Western_Digital.graphml,27,27,21,6,0.038461538461538464,2.0,2,"['COLLECT', 'SUBSUM']"
Humana.graphml,63,72,54,9,0.018433179723502304,2.2857142857142856,2,"['COLLECT', 'SUBSUM']"
CME_Group.graphml,24,25,13,11,0.04528985507246377,2.0833333333333335,2,"['COLLECT', 'SUBSUM']"
Align_Technology.graphml,30,28,20,10,0.03218390804597701,1.8666666666666667,2,"['COLLECT', 'SUBSUM']"
Capital_One.graphml,37,39,20,17,0.02927927927927928,2.108108108108108,2,"['COLLECT', 'SUBSUM']"
Dexcom.graphml,40,42,27,13,0.026923076923076925,2.1,2,"['COLLECT', 'SUBSUM']"
Steris.graphml,65,76,28,37,0.01826923076923077,2.3384615384615386,2,"['COLLECT', 'SUBSUM']"
Corning_Inc..graphml,3,2,1,2,0.3333333333333333,1.3333333333333333,1,['COLLECT']
Oracle_Corporation.graphml,54,66,47,7,0.023060796645702306,2.4444444444444446,2,"['COLLECT', 'SUBSUM']"
Becton_Dickinson.graphml,21,19,17,4,0.04523809523809524,1.8095238095238095,2,"['COLLECT', 'SUBSUM']"
Lilly_(Eli).graphml,62,72,29,33,0.019037546271813855,2.3225806451612905,2,"['COLLECT', 'SUBSUM']"
Lam_Research.graphml,8,7,6,2,0.125,1.75,1,['COLLECT']
Cadence_Design_Systems.graphml,25,27,19,6,0.045,2.16,2,"['COLLECT', 'SUBSUM']"
Global_Payments.graphml,49,50,44,5,0.021258503401360544,2.0408163265306123,2,"['COLLECT', 'SUBSUM']"
FactSet.graphml,12,12,9,3,0.09090909090909091,2.0,2,"['COLLECT', 'SUBSUM']"
Gartner.graphml,37,41,29,8,0.03078078078078078,2.2162162162162162,2,"['COLLECT', 'SUBSUM']"
Biogen.graphml,43,42,34,9,0.023255813953488372,1.9534883720930232,2,"['COLLECT', 'SUBSUM']"
Molina_Healthcare.graphml,22,21,16,6,0.045454545454545456,1.9090909090909092,2,"['COLLECT', 'SUBSUM']"
Enphase_Energy.graphml,69,78,39,30,0.016624040920716114,2.260869565217391,2,"['COLLECT', 'SUBSUM']"
Cincinnati_Financial.graphml,15,20,11,4,0.09523809523809523,2.6666666666666665,2,"['COLLECT', 'SUBSUM']"
Baxter_International.graphml,2,1,1,1,0.5,1.0,1,['COLLECT']
KLA_Corporation.graphml,9,8,5,4,0.1111111111111111,1.7777777777777777,1,['COLLECT']
S&P_Global.graphml,59,59,45,14,0.017241379310344827,2.0,2,"['COLLECT', 'SUBSUM']"
Globe_Life.graphml,23,20,17,6,0.039525691699604744,1.7391304347826086,2,"['COLLECT', 'SUBSUM']"
Hewlett_Packard_Enterprise.graphml,5,4,2,3,0.2,1.6,1,['COLLECT']
Synopsys.graphml,2,1,1,1,0.5,1.0,1,['COLLECT']
Palantir_Technologies.graphml,50,55,40,10,0.022448979591836733,2.2,2,"['COLLECT', 'SUBSUM']"
Arista_Networks.graphml,74,81,63,11,0.014994446501295817,2.189189189189189,2,"['COLLECT', 'SUBSUM']"
Cognizant.graphml,28,32,22,6,0.042328042328042326,2.2857142857142856,2,"['COLLECT', 'SUBSUM']"
First_Solar.graphml,51,59,36,15,0.023137254901960783,2.3137254901960786,2,"['COLLECT', 'SUBSUM']"
Cooper_Companies_(The).graphml,0,0,0,0,0.0,0.0,0,[]
Franklin_Resources.graphml,29,30,19,10,0.03694581280788178,2.0689655172413794,2,"['COLLECT', 'SUBSUM']"
Jack_Henry_&_Associates.graphml,18,21,10,8,0.06862745098039216,2.3333333333333335,2,"['COLLECT', 'SUBSUM']"
Supermicro.graphml,65,71,46,19,0.01706730769230769,2.1846153846153844,2,"['COLLECT', 'SUBSUM']"
Edwards_Lifesciences.graphml,61,72,40,21,0.019672131147540985,2.360655737704918,2,"['COLLECT', 'SUBSUM']"
Accenture.graphml,49,49,39,10,0.020833333333333332,2.0,2,"['COLLECT', 'SUBSUM']"
Incyte.graphml,69,91,57,12,0.01939471440750213,2.63768115942029,2,"['COLLECT', 'SUBSUM']"
Trimble_Inc..graphml,41,41,30,11,0.025,2.0,2,"['COLLECT', 'SUBSUM']"
Viatris.graphml,86,133,76,10,0.018194254445964432,3.0930232558139537,2,"['COLLECT', 'SUBSUM']"
Goldman_Sachs.graphml,29,31,20,9,0.038177339901477834,2.1379310344827585,2,"['COLLECT', 'SUBSUM']"
Moody_s_Corporation.graphml,51,63,38,13,0.024705882352941175,2.4705882352941178,2,"['COLLECT', 'SUBSUM']"
McKesson_Corporation.graphml,27,31,19,8,0.04415954415954416,2.2962962962962963,2,"['COLLECT', 'SUBSUM']"
IQVIA.graphml,25,26,18,7,0.043333333333333335,2.08,2,"['COLLECT', 'SUBSUM']"
Zimmer_Biomet.graphml,45,43,29,16,0.021717171717171718,1.9111111111111112,2,"['COLLECT', 'SUBSUM']"
Thermo_Fisher_Scientific.graphml,23,23,10,13,0.045454545454545456,2.0,2,"['COLLECT', 'SUBSUM']"
Waters_Corporation.graphml,51,61,37,14,0.02392156862745098,2.392156862745098,2,"['COLLECT', 'SUBSUM']"
Zebra_Technologies.graphml,47,43,40,7,0.019888991674375578,1.8297872340425532,1,['COLLECT']
American_Express.graphml,40,77,31,9,0.04935897435897436,3.85,2,"['COLLECT', 'SUBSUM']"
HCA_Healthcare.graphml,8,7,5,3,0.125,1.75,1,['COLLECT']
Loews_Corporation.graphml,0,0,0,0,0.0,0.0,0,[]
Fair_Isaac.graphml,29,36,23,6,0.04433497536945813,2.4827586206896552,2,"['COLLECT', 'SUBSUM']"
IBM.graphml,66,72,50,16,0.016783216783216783,2.1818181818181817,2,"['COLLECT', 'SUBSUM']"
Skyworks_Solutions.graphml,19,16,12,7,0.04678362573099415,1.6842105263157894,1,['COLLECT']
Monolithic_Power_Systems.graphml,22,21,17,5,0.045454545454545456,1.9090909090909092,2,"['COLLECT', 'SUBSUM']"
Verisign.graphml,53,55,29,24,0.01995645863570392,2.0754716981132075,2,"['COLLECT', 'SUBSUM']"
MSCI_Inc..graphml,31,29,24,7,0.03118279569892473,1.8709677419354838,2,"['COLLECT', 'SUBSUM']"
NXP_Semiconductors.graphml,12,11,8,4,0.08333333333333333,1.8333333333333333,2,"['COLLECT', 'SUBSUM']"
Microchip_Technology.graphml,28,30,23,5,0.03968253968253968,2.142857142857143,2,"['COLLECT', 'SUBSUM']"
Agilent_Technologies.graphml,34,35,17,17,0.031194295900178252,2.0588235294117645,2,"['COLLECT', 'SUBSUM']"
Insulet_Corporation.graphml,23,22,16,7,0.043478260869565216,1.9130434782608696,2,"['COLLECT', 'SUBSUM']"
GoDaddy.graphml,21,23,19,2,0.05476190476190476,2.1904761904761907,2,"['COLLECT', 'SUBSUM']"
West_Pharmaceutical_Services.graphml,18,18,14,4,0.058823529411764705,2.0,2,"['COLLECT', 'SUBSUM']"
Moderna.graphml,54,62,45,9,0.02166317260656883,2.2962962962962963,2,"['COLLECT', 'SUBSUM']"
Bank_of_America.graphml,12,10,6,6,0.07575757575757576,1.6666666666666667,1,['COLLECT']
Cigna.graphml,32,36,16,16,0.036290322580645164,2.25,2,"['COLLECT', 'SUBSUM']"
Teledyne_Technologies.graphml,37,42,28,9,0.03153153153153153,2.27027027027027,2,"['COLLECT', 'SUBSUM']"
Mastercard.graphml,68,79,48,20,0.017339771729587356,2.323529411764706,2,"['COLLECT', 'SUBSUM']"
MarketAxess.graphml,18,17,10,8,0.05555555555555555,1.8888888888888888,2,"['COLLECT', 'SUBSUM']"
KeyCorp.graphml,19,18,14,5,0.05263157894736842,1.894736842105263,2,"['COLLECT', 'SUBSUM']"
CrowdStrike.graphml,44,56,37,7,0.02959830866807611,2.5454545454545454,2,"['COLLECT', 'SUBSUM']"
Berkshire_Hathaway.graphml,4,3,2,2,0.25,1.5,1,['COLLECT']
Boston_Scientific.graphml,56,61,47,9,0.019805194805194805,2.1785714285714284,2,"['COLLECT', 'SUBSUM']"
Roper_Technologies.graphml,27,28,18,9,0.039886039886039885,2.074074074074074,2,"['COLLECT', 'SUBSUM']"
W._R._Berkley_Corporation.graphml,43,46,36,7,0.02547065337763012,2.13953488372093,2,"['COLLECT', 'SUBSUM']"
